season,round,pick,team,gsis_id,pfr_player_id,cfb_player_id,pfr_player_name,hof,position,category,side,college,age,to,allpro,probowls,seasons_started,w_av,car_av,dr_av,games,pass_completions,pass_attempts,pass_yards,pass_tds,pass_ints,rush_atts,rush_yards,rush_tds,receptions,rec_yards,rec_tds,def_solo_tackles,def_ints,def_sacks
2000,5,149,GNB,,GbajKa20,,Kabeer Gbaja-Biamila,False,DE,DL,D,San Diego St.,22.0,2008.0,0,1,5,43.0,,43.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,1.0,74.5
2000,5,150,SFO,,MileJo20,,John Milem,False,DE,DL,D,Lenoir-Rhyne,25.0,2001.0,0,0,0,1.0,,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,,
2000,5,161,NWE,,,,Jeff Marriott,False,DT,DL,D,Missouri,,,0,0,0,,,,,,,,,,,,,,,,,,
2000,6,167,MIA,,GranEr20,,Ernest Grant,False,DT,DL,D,Ark-Pine Bluff,24.0,2002.0,0,0,0,3.0,,2.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,,0.5
2000,6,173,PIT,,CombCh21,,Chris Combs,False,DE,DL,D,Duke,23.0,2002.0,0,0,0,1.0,,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,
2000,6,176,ARI,,IssaJa20,,Jabari Issa,False,DE,DL,D,Washington,22.0,2001.0,0,0,0,4.0,,4.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,,1.0
2000,6,178,PHI,,,john-frank-2,John Frank,False,DE,DL,D,Utah,,,0,0,0,,,,,,,,,,,,,,,,,,
2000,6,181,DET,,,,Quinton Reese,False,DE,DL,D,Auburn,,,0,0,0,,,,,,,,,,,,,,,,,,
2000,6,185,SEA,,,,Tim Watson,False,DT,DL,D,Rowan,,,0,0,0,,,,,,,,,,,,,,,,,,
2000,6,190,SEA,,HillJo21,,John Hilliard,False,DE,DL,D,Mississippi St.,24.0,2002.0,0,0,0,6.0,,6.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,,
2000,6,191,BAL,,WoodCe20,,Cedric Woodard,False,DT,DL,D,Texas,23.0,2004.0,0,0,2,14.0,,,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,,1.0
2000,6,194,BUF,,LarsLe20,,Leif Larsen,False,DT,DL,D,Texas-El Paso,25.0,2001.0,0,0,0,3.0,,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,,2.0
2000,6,197,TEN,,SmitRo21,robaire-smith-1,Robaire Smith,False,DE,DL,D,Michigan St.,22.0,2010.0,0,0,6,39.0,,14.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.0,,21.0
2000,6,201,NWE,,NugeDa21,,David Nugent,False,DE,DL,D,Purdue,22.0,2002.0,0,0,0,2.0,,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,,
2000,7,209,CLE,,,,Eric Chandler,False,DE,DL,D,Jackson St.,,,0,0,0,,,,,,,,,,,,,,,,,,
2000,7,216,WAS,,CowsDe20,,Delbert Cowsette,False,DT,DL,D,Maryland,23.0,2002.0,0,0,0,3.0,,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,,2.0
2000,7,217,NYG,,ParkJe21,,Jeremiah Parker,False,DE,DL,D,California,22.0,2000.0,0,0,0,0.0,,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2000,7,218,NYJ,,,,Richard Seals,False,DT,DL,D,Utah,,,0,0,0,,,,,,,,,,,,,,,,,,
2000,7,229,GNB,,MoorRo22,,Ron Moore,False,DT,DL,D,NW Oklahoma St.,23.0,2001.0,0,0,0,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2000,7,235,IND,,,,Rob Renes,False,DT,DL,D,Michigan,,,0,0,0,,,,,,,,,,,,,,,,,,
2000,7,241,JAX,,MeieRo20,,Rob Meier,False,DE,DL,D,Washington St.,23.0,2008.0,0,0,3,30.0,,30.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,,21.5
2000,7,253,DET,,BoonAl20,,Alfonso Boone,False,DT,DL,D,Mount San Antonio JC,24.0,2010.0,0,0,1,23.0,,,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,,15.5
2001,1,3,CLE,,WarrGe20,,Gerard Warren,False,DT,DL,D,Florida,23.0,2011.0,0,0,9,49.0,,25.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.0,,36.5
2001,1,4,CIN,,SmitJu20,,Justin Smith,False,DE,DL,D,Missouri,21.0,2014.0,1,5,14,101.0,,27.0,221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615.0,3.0,87.0
2001,1,6,NWE,,SeymRi00,,Richard Seymour,True,DE,DL,D,Georgia,21.0,2012.0,3,7,11,91.0,,73.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.0,2.0,57.5
