season,round,pick,Team Abbr,gsis_id,pfr_player_id,cfb_player_id,pfr_player_name,hof,position,category,side,college,age,to,allpro,probowls,seasons_started,w_av,car_av,dr_av,games,pass_completions,pass_attempts,pass_yards,pass_tds,pass_ints,rush_atts,rush_yards,rush_tds,receptions,rec_yards,rec_tds,def_solo_tackles,def_ints,def_sacks
2001,1,29,STL,,PickRy20,,Ryan Pickett,False,DT,DL,D,Ohio St.,21.0,2014.0,0,0,13,58.0,,22.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386.0,,9.5
2001,2,34,ARI,,VandKy99,,Kyle Vanden Bosch,False,DE,DL,D,Nebraska,22.0,2012.0,0,3,9,58.0,,7.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.0,,58.0
2001,2,44,CAR,,JenkKr00,,Kris Jenkins,False,DT,DL,D,Maryland,22.0,2010.0,2,4,6,68.0,,54.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,,24.0
2001,2,46,BUF,,SchoAa99,aaron-schobel-1,Aaron Schobel,False,DE,DL,D,TCU,24.0,2009.0,0,2,8,62.0,,62.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334.0,3.0,78.0
2001,2,61,DET,,RogeSh99,,Shaun Rogers,False,DT,DL,D,Texas,22.0,2013.0,0,3,8,57.0,,40.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374.0,1.0,37.5
2001,3,63,PHI,,BurgDe99,derrick-burgess-1,Derrick Burgess,False,DE,DL,D,Mississippi,23.0,2010.0,0,2,4,40.0,,8.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,,52.0
2001,3,76,BUF,,EdwaRo20,,Ron Edwards,False,DT,DL,D,Texas A&M,22.0,2012.0,0,0,6,37.0,,10.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,,16.5
2001,3,87,DEN,,HaywRe20,,Reggie Hayward,False,DE,DL,D,Iowa St.,22.0,2009.0,0,0,3,32.0,,13.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,1.0,39.5
2002,1,2,CAR,00-0021140,PeppJu99,julius-peppers-1,Julius Peppers,False,DE,DL,D,North Carolina,22.0,2018.0,3,9,16,130.0,,75.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,557.0,11.0,159.5
2002,1,6,KC,,SimsRy20,,Ryan Sims,False,DT,DL,D,North Carolina,22.0,2010.0,0,0,3,22.0,,14.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,1.0,8.5
2002,1,9,JAX,,HendJo99,john-henderson-1,John Henderson,False,DT,DL,D,Tennessee,23.0,2011.0,0,2,8,64.0,,62.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,382.0,,29.0
2002,1,11,IND,,FreeDw00,dwight-freeney-1,Dwight Freeney,False,DE,DL,D,Syracuse,22.0,2017.0,3,7,11,81.0,,77.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.0,,125.5
